web_scraper_order,product,variant,comment,created_at,reason
1773397937-290,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,TEXT ME-Hồng mận,"Hàng chính hãng, cầm nặng tay Nhưng màu son nhận dc k liên quan tới màu hãng quảng cáo Quá buồn vì màu k giống 1 tẹo nào",2026-02-05 13:18,Không giống mô tả / quảng cáo
1773397937-292,(GWP) Gương Pha Lê 3CE,,"Hào hứng bao nhiêu nhận về thất zọng bấy nhiêu, có phải hàng rẻ đâu mà shop ship cho mình hàng sài rồi, mở cái gương ra siêu thất vọng , cực bẩn chắc chắn đã qua sd",2026-02-05 12:40,Chất lượng sản phẩm kém
1773397937-294,Son kem lì nhung mịn 3CE Velvet Lip Tint,Speak Up-Lê đỏ ngâm,"Cùng mua 1 mã màu , màu cũ thì mịn, màu mới khác so với màu cũ , khô ráp",2026-02-05 12:39,Chất lượng sản phẩm kém
1773397937-295,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Đóng hàng không có keo dính chắc chắn, vừa giao đến đã tự bung ra? Không đảm bảo được sản phẩm có bị đổi không",2026-02-05 12:35,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-296,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"lúc mở ra là hàng đã như này rồi ấy ? sao shop unbox hàng còn ko thèm đóng lại xong đi ship cho khách là sao?? làm ăn bất lương vậy trời, mở ra thì bụi bẩn vướng trên lọ như kiểu đưa ra lâu ngày xong đến lúc gửi cho khách mới bỏ vào hộp ấy?",2026-02-05 09:47,Giao hàng chậm
1773397937-299,Son kem lì nhung mịn 3CE Velvet Lip Tint,Speak Up-Lê đỏ ngâm,"Son mới đánh thì mịn nhưng để 1 lúc thì bị khô môi, màu son không chuẩn, thử 3 môi đều ra ánh hồng trong khi trong ảnh mẫu là ánh cam.",2026-02-04 23:45,Không giống mô tả / quảng cáo
1773397937-300,Son kem lì nhung mịn 3CE Velvet Lip Tint,Daffodil-Đậu đỏ,Màu hồng đỏ nha mấy má né ra nhé,2026-02-04 23:33,Gây kích ứng da / breakout
1773397937-303,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,"Sản phẩm không đúng như mô tả, đây ko phải đỏ cam mà là đỏ hồng,",2026-02-04 10:32,Thiếu hàng / sai sản phẩm
1773397937-305,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Early Now,"Chất lượng hàng thì oke, nhưng mặt phấn bị ứt 1 đường, tuy ko ảnh hưởng j đến chất lương, nhưng vẫn ko ưng ý cho lắm",2026-02-04 07:47,Khác / Không rõ
1773397937-306,Son kem bùn mịn lì 3CE Hazy Lip Clay,WHIP RED-Đỏ mận,"Tệ,ko xứng đáng vs cách xử lý và cách đóng thúc Ngày 3 oy mà vẫn ko tháy gì",2026-02-03 19:33,Chất lượng sản phẩm kém
1773397937-308,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,"Huhu để tặng kèm quà nhưng không có, bảo là hết quà 😪",2026-02-03 16:59,Chất lượng sản phẩm kém
1773397937-309,(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store,,"Mắc cười thiệt, hãng lớn có tiếng mà đi tặng cái gương mini là tấm thiếc, ủa vậy tặng làm gì vậy, ít nhất cũng tặng cái gương xinh xinh, gì đâu hãng lớn mà tặng cái gương vậy cũng đi tặng",2026-02-03 14:56,Giá cao không xứng
1773397937-311,(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store,,"Cái bao bì oke chứ cái ruột bên trong rỗng toét, không ổn chút nào",2026-02-03 11:31,Chất lượng sản phẩm kém
1773397937-312,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Mình tốn tiền đặt hoả tốc trong ngày. K giao đúng hẹn cho mình. Mình trả hàng hoàn tiền, đớp hàng đớp tiền k thèm trả cho mình cái gì. Shop lớn mà làm việc kém tệ. Nhắn tin thì k check… hề ghê",2026-02-03 10:27,Chất lượng sản phẩm kém
1773397937-313,Son Pha Lê 3CE Misty Lip Bare,07 - Sun Pause,Son không ăn môi. Đánh xong trôi luôn,2026-02-03 08:53,Chất lượng sản phẩm kém
1773397937-315,Son Pha Lê 3CE Misty Lip Bare,11 - Rose Sigh,Nhanh trôi. Bôi như k bôi. Tí là trôi hết màu. K nên mua. Phí tiền Trả hàng nhưng k dc chấp nhận. Kêu gửi hàng lại mà k thấy đâu. Vừa mất tiền mua xong cũng k có mà sài. Shop gian dối,2026-02-02 20:39,Chất lượng sản phẩm kém
1773397937-316,Phấn Má Hồng Mịn Lì 3CE Face Blush,City Mauve-Hồng khói,Made in china fake mà fake lộ liễu??,2026-02-02 18:44,Không giống mô tả / quảng cáo
1773397937-317,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),NECTAR-Nâu rượu,vặn ra được k vặn lại đc. Như này nắp lại kiểu gì,2026-02-02 16:46,Khác / Không rõ
1773397937-318,Phấn Má Hồng Mịn Lì 3CE Face Blush,Mono Pink-Hồng khô,gửi nnao nta hoàn lại như thế r mà bảo k cho hoàn,2026-02-02 13:39,Khác / Không rõ
1773397937-319,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,"Trải nghiệm không mấy vui vẻ Mình thấy ghi màu đỏ cam, nhưng về mình đánh lên môi lại màu hồng cánh sen, nhắn shop thì shop bảo là màu đỏ cam nhưng thiên về Hồng ????? ( Đỏ Cam lại thiên về Hồng) Trả hàng thì shopee lại nói do bạn đánh lên môi đổi màu???? Do bạn không hỏi shop trước???? Chung quy là k nhận trách nhiệm, đổ lỗi khách hàng . Các b thấy hợp thì mua, còn mình thấy tệ . Cả ng bán lẫn cskh shopee",2026-02-02 12:54,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-320,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,Cheo đầu dê bán thịt chó,2026-02-02 12:19,Khác / Không rõ
1773397937-321,Son Pha Lê 3CE Misty Lip Bare,11 - Rose Sigh,"son xấu , bề ngoài vỏ đẹp thôi nhưng ai mà môi thâm trên thì son cũng như không nhé t nói nó k lên màu gì luôn , son bóng mà 1 lát sau nó set lại môi hết bóng mà còn khô nữa 230ka cho 1 cây son không đáng đồng tiền . môi t xài rô mand nó mọng không có khô như son này luôn nhé",2026-02-02 11:10,Chất lượng sản phẩm kém
1773397937-322,Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette,Auto Focus,Chưa dùng lần nào nhưng đặt về phát hiện nhầm tone mà hoàn lại shopee không cho nên pass rẻ 490k cho bạn nào cần zl: không 3 chín ba 9 không 0 không sáu sáu,2026-02-02 10:18,Thiếu hàng / sai sản phẩm
1773397937-326,Son bóng dưỡng môi 3CE Glazy Lip Glow,#37 Raspberry Coate,Mình không biết hàng thật hay giả nhưng hộp và bao bì kiểu như đã bị sử dụng nhiều lần ngay cả cái mác lần đầu mình mở thỏi đã thấy có dấu hiệu bị bốc ra từ trc mình k hài lòng về cách đóng gói sp này 😡,2026-02-01 20:23,Không giống mô tả / quảng cáo
1773397937-327,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#22 Spiced Latte,Chéo liền tay nhận ngay quà bự đi bà con ơiiii https://shp.ee/d9c5w4t88te,2026-02-01 15:19,Khác / Không rõ
1773397937-328,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,KNIT-Hồng khô,Ê rất chán nha. Sp chán vchg phí tiền. Ko bao giờ mua laị.,2026-02-01 14:55,Chất lượng sản phẩm kém
1773397937-329,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,nhân viên kho shopee xử lí kém thiếu chuyên nghiệp làm việc như mất não,2026-02-01 12:23,Thiếu hàng / sai sản phẩm
1773397937-332,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Son Ok chuẩn ok nhug hàng tag như đồ bỏ tróc keo nhận dc bỏ luôn,2026-02-01 00:49,Khác / Không rõ
1773397937-333,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Hàng make in China! Vài tháng trước vẫn là hàng make in korea nhưng lần nay lai vay! moi nguoi can nhac khi mua that vong vs shopee mall,2026-01-31 21:22,Không giống mô tả / quảng cáo
1773397937-334,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Pink Guava-Hồng đào,"Hàng bị bóc ở hai đầu hộp giấy, k biét đã qua sdung chưa,liên hệ cskh mà tl máy móc???mk k quay lại video bóc hàng do chủ quan thôi k trả hàng",2026-01-31 20:34,Dịch vụ CSKH kém
1773397937-335,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#22 Spiced Latte,Không xử lý hoàn hàng :))),2026-01-31 16:16,Dịch vụ CSKH kém
1773397937-336,Son Pha Lê 3CE Misty Lip Bare,09 - Driftwood,Chưa bao giờ mua 3ce mà thất vọng đến vậy. Màu son k đúng mô tả. Trả hàng k hoàn tiền. Kêu hàng đã dùng k hoàn vậy mà k trả khách hàng. Bắt khách hàng liên hệ shopee. K sđt liên lạc bắt nhắn tin thì trả lời tự động có tác dụng gì. Dịch vụ quá chán. Nói chung mua hàng ổn đúng gu thì k sao chứ hàng có vấn đề 1 cái là k ai giải quyết luôn. Nhận đc tiền của khách là ỉm luôn.,2026-02-11 05:33,Không giống mô tả / quảng cáo
1773397937-337,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Hàng giống hàng nhái, không có tem niêm phong, sản xuất thì ghi ở Trung Quốc. Trong khi mình mua chính hảng ở ngoài store có tem niêm phong sản xuất tại Hàn",2026-01-31 09:41,Không giống mô tả / quảng cáo
1773397937-339,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,B,2026-01-31 01:01,Khác / Không rõ
1773397937-341,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Double Wind-Hồng khô,Làm ăn chán,2026-01-30 21:44,Chất lượng sản phẩm kém
1773397937-342,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Dịch vụ khách hàng cực kỳ tệ lừa dối khách hàng. Hàng chắc không chuẩn tại thái độ nhân viên kém và cheap. Mua hasaki hay shop khác đi,2026-01-30 17:06,Không giống mô tả / quảng cáo
1773397937-343,Bảng phấn mắt 3CE 4 màu cỡ nhỏ nhiều màu  3CE Mini Multi Eye Color Palette Small Eye Shadow,Flat Call-Nâu cam,"Tốt nhất nên mua hãng khác đắt và màu xấu nhạt. Dịch vụ khách hàng cực kém vì shopee tự xử lý. Đặt lộn màu shop nói shopee xử lý không đổi được. Trả hàng không cho M đặt lộn màu nhưng mở ra thấy màu không xinh nhạt toẹt. Mình trả hàng vì không còn nhu cầu các shop khác đều nhanh chóng. Nv shopee làm ăn gian dối hỏi trước là mình có quay video không, mình nói không rồi mới nói hộp bị móp. Bất ngờ luôn. Mình yêu cầu lại video gói hàng mở hàng thì shopee không gửi chỉ gửi 2 tấm ảnh họ làm móp hộp. Tốt nhất né shop này ra mua shop như hasaki vs watson cho đỡ tức còn rẻ hơn. Nhân viên không biết trộn fake k tại thái độ rất chợ và cheap",2026-01-30 17:06,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-344,Phấn Má Hồng Mịn Lì 3CE Face Blush,Rose Beige-Cam đào,"Tốt nhất là không nên mua chất phấn bình thường mà có 1 màu giá đắt. Thua xa hộp too old for school chất mịn 3 màu. Dịch vụ khách hàng cực kém vì shopee tự xử lý. Nên mua shop khác còn khiếu nại được. Mình mua cùng phấn mắt đặt lộn phấn mắt thì shop nói không đổi được, trả hàng cũng không cho Nv shopee làm ăn gian dối hỏi trước là mình có quay video không, mình nói không mới nói hộp bị móp. Trong khi mình chắc chắn không và bỏ lại y chang lúc mở luôn. Đã vậy shopee không gói bằng bọc chống xốc nhận về hên thì không vỡ phấn chứ ở đó hộp móp. Nên nếu mua thì cẩn thận với chúng nó. Lần đầu tiên gặp luôn. Mình có yêu cầu video lúc shopee khui hàng là hộp nó bị móp và yêu cầu video đóng gói hàng để thấy shopee không gói miếng xốp chống va đập. Thì họ chỉ gửi tấm hình móp cái hộp 1 xíu và từ chối. 1 mall lớn làm ăn thế này, cheap. Mua hasaki hay watson cho khoẻ giá còn rẻ hơn. Ở đây ai biết nhân viên trộn hàng fake vô k tại thái độ nhân viên rất chợ.",2026-01-30 17:06,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-345,Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette,Overtake-Đất thu ấm,Cái màu trên hình so với cái màu ở ngoài mình nhận được khác một trời một vực. Quá buồn,2026-01-30 15:43,Khác / Không rõ
1773397937-347,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Mình ấn hoàn tiền trả hàng rồi nhưng lại thôi vì phiền có vài trăm bạc. Nhưng hàng lần này lại made in chia. Mọi người lưu ý. Shop làm ăn lần này không trung thực. Mua 3CE của Hàn quốc nhưng made in china. Không biết thật hay giả. Mặc dù test chất son thì vẫn tựa tựa hàng ngày trước mình mua,2026-01-30 15:34,Không giống mô tả / quảng cáo
1773397937-348,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Giao thiếu hàng. Đổ trách nhiệm không xử lí,2026-01-29 17:34,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-351,Son bóng dưỡng môi 3CE Glazy Lip Glow,#34 Rose Glaze,Son đã qua sd,2026-01-29 17:02,Khác / Không rõ
1773397937-354,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,"Ko đẹp, ọp ẹp. Tặng quà cũng cần có tâm 1 chút",2026-01-29 08:43,Khác / Không rõ
1773397937-359,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Không giống mô tả,2026-01-28 13:26,Không giống mô tả / quảng cáo
1773397937-360,Son Pha Lê 3CE Misty Lip Bare,05 - Coral Drench,Đánh 5-6 lớp không lên màu. Nên không có chuyện giữ màu như Hana Ohlala quảng cáo nha. Chất son cũng không ok. Đánh lên như nước lã. Sẽ không bao giờ mua lại,2026-01-28 12:46,Không giống mô tả / quảng cáo
1773397937-361,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Early Hour-Hồng ngọt,"Bản dùng thử màu lên đẹp, không gây khô môi dùng rất thích - mình được tặng khi mua má hồng, thế mà bản full thì chán, không lên màu đều, môi khô lộ viền, sản xuất ở trung quốc, nghi trộn hàng kém chất lượng",2026-01-28 08:45,Chất lượng sản phẩm kém
1773397937-365,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Aaa,2026-01-27 21:23,Khác / Không rõ
1773397937-366,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Mk đống gói như này phần trên có thêm xốp nữa mà hoàn hàng trả, Mà phía bên shop lại bảo hàng vỡ không chập nhận yêu cầu hoàn hoàn của mình Nếu bên shop bảo hàng vỡ thì cho mình cái video bên shop nhận về đi",2026-01-27 21:23,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-367,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Bị hư nút bấm nên không gài túi lại được,2026-01-27 20:00,Chất lượng sản phẩm kém
1773397937-368,Son Sáp Màu Mịn Lì 3CE Sketch Stick,13-Silent Bloom,"Xấu. Đánh 4 sao nhưng phải quầy lại 1 sao, mới lắc nhẹ một cái, lõi son bay ra cmn luôn :)))) Luu luong con lai cua Quy khach la: 4140MB (5G135N) su dung den 00h00 ngay 25-01-2026 De bao ve du lieu va quyen loi khi su dung dich vu, Quy khach vui long doc va xac nhan dong y voi Van ban chap thuan ve xu ly va bao ve du lieu ca nhan tai https://viettel.vn/vanbanchapthuan. LH 198 (0d).",2026-01-28 19:49,Khác / Không rõ
1773397937-369,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#08 Figtachio,Mua đơn trên 499k nhưng kh thấy tặng túi đựng son,2026-01-27 21:27,Khác / Không rõ
1773397937-370,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Lúc live mua bảo hoá đơn trên 499k đc tặng bao son, nhưng khi mua 2 cây giá trên 600k mà kh dc tặng túi đựnh son là sao nhỉ???",2026-01-27 18:24,Khác / Không rõ
1773397937-372,Son Pha Lê 3CE Misty Lip Bare,07 - Sun Pause,"Chất son chẳng khác gì nước pha màu, đánh 7749 lần mới lên màu nhưng nó tèm lem nham nhở thấy chán gì đâu, màu thì rõ đẹp trên tay nhưng lên môi thì ối giời ôi, giá đắt mà thua cả những cây son giá rẻ của hãng khác",2026-01-27 15:19,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-376,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Chưa dùng nên m chưa biết nhưng nhìn mẫu mã cũng ổn. Xịt lớp trang điểm xịt lớp trang điểm xịt lớp trang điểm. Xấu móp méo. K đáng,2026-01-27 10:28,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-377,Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush,#01 Speak Up,"Live kêu đơn hàng 500k dc tặng túi son mà giao k thấy, nt hỏi thì nói do này do kia",2026-01-27 09:54,Khác / Không rõ
1773397937-381,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Lần đầu mình mua được thỏi son n tệ như vậy, đánh son k hề ăn vào môi, mình kb nó là hàng giả hay chất lượng hãng nayd tệ như vậy nữa, quá thất vọng vì sự tệ hại này",2026-01-26 23:46,Không giống mô tả / quảng cáo
1773397937-382,Son bóng dưỡng môi 3CE Glazy Lip Glow,#31 Lavender Cream,Trên live bảo tặng túi đựng son nhưng mua ko có,2026-01-26 19:45,Khác / Không rõ
1773397937-383,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Pink Guava-Hồng đào,hoàn hàng bị từ chối giờ k trả lại hàng cho mình??,2026-01-26 18:35,Dịch vụ CSKH kém
1773397937-384,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Casual Affair-Hồng,"Hàng fake ,chất son và màu son khác với qc và khác với lần trước tôi mua ,trả hàng thì ko cho .lấy lí do đã test son ,ko cho trả ,z là mua son là ko đc test để biết ntn lun .test r là ko cho trả ,chất tint gì như son bùn á ,nặng môi ,ai muốn mua thì cân nhắc nhen .treo đầu dê bán thịt chó á",2026-01-26 17:19,Không giống mô tả / quảng cáo
1773397937-385,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Spot Player-Táo đỏ,"Trộn hàng Made in China à shop. Tin tưởng Shop Mall mua ai dè China, trong khi cây cũ Made in Korea. Thất vọng ghê luôn",2026-01-26 16:04,Không giống mô tả / quảng cáo
1773397937-386,Phấn Má Hồng Mịn Lì 3CE Face Blush,Delectable-Hồng dâu,Mình đã xài sp trước đó và đặt mua trên đây. Nhưng mình thấy sản phẩm lên màu ko rõ và có vẻ hơi giả giả,2026-01-26 15:30,Không giống mô tả / quảng cáo
1773397937-387,Son Pha Lê 3CE Misty Lip Bare,01 - Nude Whisper,son tệ . mn đừng nên mua son naỳ . có quá nhiều đanh giá te Hàng ko trả đc . Ko thử thì làm sao biết hàng tệ . Mà thử thì ko trả đc . Phí 250k,2026-01-26 13:54,Chất lượng sản phẩm kém
1773397937-390,Chai Xịt Cố Định Lớp Trang Điểm 3CE 3CE Shimmer Makeup Fixer,,Sịt hỏng k ra,2026-01-26 12:13,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-391,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Beige Hour,mua 2đơn trùng báo huỷ đơn bị từ chối rồi nhận hàng xong phải trả hàng shop làm vậy chi cho mất thời gian vậy,2026-01-26 11:43,Khác / Không rõ
1773397937-392,Son kem lì nhung mịn 3CE Velvet Lip Tint,Definition-Đất nung,Hàng kém chất lượng ko như mô tả màu sắc ko như hình ảnh mô tả. Hàng giả đánh lên môi rất khó chịu gây khô môi,2026-01-29 07:55,Không giống mô tả / quảng cáo
1773397937-393,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,Son fake 🤬🤬🤬,2026-01-26 08:19,Không giống mô tả / quảng cáo
1773397937-394,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Sản phẩm chưa nhận được nên chưa có ảnh Trải nghiệm quá tệ về shop,2026-01-25 20:33,Chất lượng sản phẩm kém
1773397937-395,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Coral Moon-Cam gạch,"Trải nghiệm tồi tệ về shop, đáng ra không xứng 1 sao . Người ta yêu cầu hoàn hàng thì không cho cũng không cho đĩa đành rồi còn không gửi lại hàng cho khách là sao??? Đã nhiều lần nhắn tin hỏi shop . Shop trả lời tỉnh bơ là do bên shoppe làm việc . Gọi cho shoppe thì bảo do shop chưa gửi hàng . HƠN MỘT THÁNG TRỜI LÀM CÁI GÌ MÀ KHÔNG GIẢI QUYẾT VẤN ĐỀ ?? Vào đọc feedback mới thấy nhiều người bảo shop bán hàng giả . Dù shop bán hàng có tốt đến đâu thì mình sẽ không bao giờ mua lại",2026-01-25 20:33,Không giống mô tả / quảng cáo
1773397937-396,Son kem lì nhung mịn 3CE Velvet Lip Tint,Speak Up-Lê đỏ ngâm,Son xài mau trôi uống nước dính ly. Trôi ra màu hồng cánh sen. Nhìn quê còn già nữa,2026-01-25 20:05,Chất lượng sản phẩm kém
1773397937-397,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"Son không bám môi, tô lên hiện rõ vết bột son trên môi. Đã tẩy da chết môi kỹ lưỡng, dưỡng ẩm rồi mới tô nhưng không thể bám môi được. Chất lượng tệ. Cảm giác bị mua cây son fake. Mua xong check review mới thấy quá nhiều người đã cảnh báo và chấm 1*. Trả hàng thì shopee từ chối, coi như phí tiền. Mọi người đừng nên mua.",2026-01-25 18:31,Không giống mô tả / quảng cáo
1773397937-398,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Early Hour-Hồng ngọt,Mình hoàn trả hàng mà k nhận được tiền vì thông tin sản phẩm k đủ nhưng mình cũng k được giao lại hàng khi đã gửi trả.,2026-01-25 17:34,Khác / Không rõ
1773397937-399,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Night Talk-Hồng,Đó h sài 3Ce cây nào cũng êm có dòng này đánh như kh đánh kh lên màu còn lem nhem không dính vô môi nữa mua 400 mấy phí tiền,2026-01-25 17:10,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-400,Son kem lì nhung mịn 3CE Velvet Lip Tint,Definition-Đất nung,Màu thực tế không giống hình ảnh quảng cáo,2026-01-25 13:52,Không giống mô tả / quảng cáo
1773397937-401,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint,Sepia-Đỏ táo trầm,hoàn hàng rồi mà shop kh hoàn tiền,2026-01-25 00:20,Dịch vụ CSKH kém
1773397937-403,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Dear March-Cam nude,Hàng fake,2026-01-24 14:34,Không giống mô tả / quảng cáo
1773397937-404,Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion,(Lõi Refill)-N02,"Khô nhanh dưỡng ẩm kĩ thật kĩ mới đỡ mốc, ít xuống tone nhưng khô quá",2026-01-24 10:48,Chất lượng sản phẩm kém
1773397937-405,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,"Son màu không giống mô tả và hình ảnh, ko biết sản phẩm chuẩn hay không nhưng khi bôi lên môi liếm có vị đắng.chát hỏi shop tư vấn shop phản hồi nhưng ko đúng trọng tâm câu hỏi, dịch vụ chăm sóc khách hàng kém.màu này mà shop gọi là màu đỏ cam.rất vớ vẩn.lừa gạt .ko cho trả hàng",2026-01-29 07:47,Thiếu hàng / sai sản phẩm
1773397937-411,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Laydown-Hồng trầm,"Brand lớn, mua trong live của chị Hana Olala, nma để tặng kèm bao đựng son mở ra lại kh có? Mà mở kiện hàng ra vỏ hộp còn bị bóc ra rồi? Chẳng hiểu nhắn thì cứ xin lỗi rồi kêu hết quà tặng trong khi mình đặt trong khung giờ được tặng, mình cò cmt trong live hỏi còn kh mới đặt",2026-01-23 10:49,Khác / Không rõ
1773397937-412,Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều),SOFTEST-Hồng baby,son gì vặn đẩy lên được nhưng không văn xuống được. Có phải hàng giả ko vậy???,2026-01-23 10:08,Không giống mô tả / quảng cáo
1773397937-413,Son Pha Lê 3CE Misty Lip Bare,11 - Rose Sigh,"Son lỏng như nước, kiểu chỉ giống son dưỡng, chỉ dành cho những ai thích nhợt nhạt nhân viên hỗ trợ k tốt, mình đặt nhầm 2 đơn, sau 30 giây bấm hủy thì shop k cho hủy, vẫn gửi 2 đơn ( hoả tốc) hoả tốc thì 2 ngày mới nhận được hàng, rất khó chịu.",2026-01-22 23:10,Thiếu hàng / sai sản phẩm
1773397937-414,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,"Mua trên live của LDBL, thấy trên ảnh là có tặng cái bao đựng son, về thì k thấy, chắc là phải bỏ giỏ rồi thanh toán thì mới được quà, chả hiểu ra s k lẽ bấm mua liền thì mất quyền lợi khách",2026-01-22 22:04,Chất lượng sản phẩm kém
1773397937-415,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,KNIT-Hồng khô,Sản phẩm không có gì để khen nổi,2026-01-22 20:49,Chất lượng sản phẩm kém
1773397937-416,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Play Off-Đỏ cam,Màu bôi ra không phải đỏ cam,2026-01-22 20:45,Gây kích ứng da / breakout
1773397937-419,(GWP) Túi Mini Đựng Son 3CE Lipstick Holder,,Sốp gói thiếu quà tặng vỏ son và màu không hợp nhưng báo là giáo đủ quà hàng trả lại qua sử dụng và thiếu quà sốp làm ăn thiếu trách nhiệm hàng hoàn trả nhận ko thấy hoàn về sau khi ăn tiền khách tệ nhất đó giờ uổng làm fan sốp mua bao nhiêu đơn sốp mà xử lý như này,2026-01-22 17:09,Thiếu hàng / sai sản phẩm
1773397937-421,Son kem lì nhung mịn 3CE Velvet Lip Tint,Taupe-Gạch đỏ,Shop này như kiểu bán hàng fake ấy màu nào cũng k lên màu chuẩn cứ hồng2.mk đã từng mua cây son này ở ngoài shop giá 300k nhưng khác nhau hoàn toàn màu lên đẹp và mùi thơm k kiểu hắc như cái mua ở đây,2026-01-22 16:45,Không giống mô tả / quảng cáo
